,buying,maint,doors,persons,lug_boot,safety,condition
159,4,3,3,5,3,2,1
160,4,3,3,5,3,3,1
161,4,3,4,2,1,1,1
162,4,3,4,2,1,2,1
163,4,3,4,2,1,3,1
164,4,3,4,2,2,1,1
165,4,3,4,2,2,2,1
166,4,3,4,2,2,3,1
167,4,3,4,2,3,1,1
168,4,3,4,2,3,2,1
169,4,3,4,2,3,3,1
170,4,3,4,4,1,1,1
171,4,3,4,4,1,2,1
172,4,3,4,4,1,3,1
173,4,3,4,4,2,1,1
174,4,3,4,4,2,2,1
175,4,3,4,4,2,3,1
176,4,3,4,4,3,1,1
177,4,3,4,4,3,2,1
178,4,3,4,4,3,3,1
179,4,3,4,5,1,1,1
180,4,3,4,5,1,2,1
181,4,3,4,5,1,3,1
182,4,3,4,5,2,1,1
183,4,3,4,5,2,2,1
184,4,3,4,5,2,3,1
185,4,3,4,5,3,1,1
186,4,3,4,5,3,2,1
187,4,3,4,5,3,3,1
188,4,3,5,2,1,1,1
189,4,3,5,2,1,2,1
190,4,3,5,2,1,3,1
191,4,3,5,2,2,1,1
192,4,3,5,2,2,2,1
193,4,3,5,2,2,3,1
194,4,3,5,2,3,1,1
195,4,3,5,2,3,2,1
196,4,3,5,2,3,3,1
197,4,3,5,4,1,1,1
198,4,3,5,4,1,2,1
199,4,3,5,4,1,3,1
200,4,3,5,4,2,1,1
201,4,3,5,4,2,2,1
202,4,3,5,4,2,3,1
203,4,3,5,4,3,1,1
204,4,3,5,4,3,2,1
205,4,3,5,4,3,3,1
206,4,3,5,5,1,1,1
207,4,3,5,5,1,2,1
208,4,3,5,5,1,3,1
209,4,3,5,5,2,1,1
210,4,3,5,5,2,2,1
211,4,3,5,5,2,3,1
212,4,3,5,5,3,1,1
213,4,3,5,5,3,2,1
214,4,3,5,5,3,3,1
215,4,2,2,2,1,1,1
216,4,2,2,2,1,2,1
217,4,2,2,2,1,3,1
218,4,2,2,2,2,1,1
219,4,2,2,2,2,2,1
220,4,2,2,2,2,3,1
221,4,2,2,2,3,1,1
222,4,2,2,2,3,2,1
223,4,2,2,2,3,3,1
224,4,2,2,4,1,1,1
225,4,2,2,4,1,2,1
226,4,2,2,4,1,3,2
227,4,2,2,4,2,1,1
228,4,2,2,4,2,2,1
229,4,2,2,4,2,3,2
230,4,2,2,4,3,1,1
231,4,2,2,4,3,2,2
232,4,2,2,4,3,3,2
233,4,2,2,5,1,1,1
234,4,2,2,5,1,2,1
235,4,2,2,5,1,3,1
236,4,2,2,5,2,1,1
237,4,2,2,5,2,2,1
238,4,2,2,5,2,3,2
239,4,2,2,5,3,1,1
240,4,2,2,5,3,2,2
241,4,2,2,5,3,3,2
242,4,2,3,2,1,1,1
243,4,2,3,2,1,2,1
244,4,2,3,2,1,3,1
245,4,2,3,2,2,1,1
246,4,2,3,2,2,2,1
247,4,2,3,2,2,3,1
248,4,2,3,2,3,1,1
249,4,2,3,2,3,2,1
250,4,2,3,2,3,3,1
251,4,2,3,4,1,1,1
252,4,2,3,4,1,2,1
253,4,2,3,4,1,3,2
254,4,2,3,4,2,1,1
255,4,2,3,4,2,2,1
256,4,2,3,4,2,3,2
257,4,2,3,4,3,1,1
258,4,2,3,4,3,2,2
259,4,2,3,4,3,3,2
260,4,2,3,5,1,1,1
261,4,2,3,5,1,2,1
262,4,2,3,5,1,3,2
263,4,2,3,5,2,1,1
264,4,2,3,5,2,2,2
265,4,2,3,5,2,3,2
266,4,2,3,5,3,1,1
267,4,2,3,5,3,2,2
268,4,2,3,5,3,3,2
269,4,2,4,2,1,1,1
270,4,2,4,2,1,2,1
271,4,2,4,2,1,3,1
272,4,2,4,2,2,1,1
273,4,2,4,2,2,2,1
274,4,2,4,2,2,3,1
275,4,2,4,2,3,1,1
276,4,2,4,2,3,2,1
277,4,2,4,2,3,3,1
278,4,2,4,4,1,1,1
279,4,2,4,4,1,2,1
280,4,2,4,4,1,3,2
281,4,2,4,4,2,1,1
282,4,2,4,4,2,2,2
283,4,2,4,4,2,3,2
284,4,2,4,4,3,1,1
285,4,2,4,4,3,2,2
286,4,2,4,4,3,3,2
287,4,2,4,5,1,1,1
288,4,2,4,5,1,2,1
289,4,2,4,5,1,3,2
290,4,2,4,5,2,1,1
291,4,2,4,5,2,2,2
292,4,2,4,5,2,3,2
293,4,2,4,5,3,1,1
294,4,2,4,5,3,2,2
295,4,2,4,5,3,3,2
296,4,2,5,2,1,1,1
297,4,2,5,2,1,2,1
298,4,2,5,2,1,3,1
299,4,2,5,2,2,1,1
300,4,2,5,2,2,2,1
301,4,2,5,2,2,3,1
302,4,2,5,2,3,1,1
303,4,2,5,2,3,2,1
304,4,2,5,2,3,3,1
305,4,2,5,4,1,1,1
306,4,2,5,4,1,2,1
307,4,2,5,4,1,3,2
308,4,2,5,4,2,1,1
309,4,2,5,4,2,2,2
310,4,2,5,4,2,3,2
311,4,2,5,4,3,1,1
312,4,2,5,4,3,2,2
313,4,2,5,4,3,3,2
314,4,2,5,5,1,1,1
315,4,2,5,5,1,2,1
316,4,2,5,5,1,3,2
317,4,2,5,5,2,1,1
318,4,2,5,5,2,2,2
319,4,2,5,5,2,3,2
320,4,2,5,5,3,1,1
321,4,2,5,5,3,2,2
322,4,2,5,5,3,3,2
323,4,1,2,2,1,1,1
324,4,1,2,2,1,2,1
325,4,1,2,2,1,3,1
326,4,1,2,2,2,1,1
327,4,1,2,2,2,2,1
328,4,1,2,2,2,3,1
329,4,1,2,2,3,1,1
330,4,1,2,2,3,2,1
331,4,1,2,2,3,3,1
332,4,1,2,4,1,1,1
333,4,1,2,4,1,2,1
334,4,1,2,4,1,3,2
335,4,1,2,4,2,1,1
336,4,1,2,4,2,2,1
337,4,1,2,4,2,3,2
338,4,1,2,4,3,1,1
339,4,1,2,4,3,2,2
340,4,1,2,4,3,3,2
341,4,1,2,5,1,1,1
342,4,1,2,5,1,2,1
343,4,1,2,5,1,3,1
344,4,1,2,5,2,1,1
345,4,1,2,5,2,2,1
346,4,1,2,5,2,3,2
347,4,1,2,5,3,1,1
348,4,1,2,5,3,2,2
349,4,1,2,5,3,3,2
350,4,1,3,2,1,1,1
351,4,1,3,2,1,2,1
352,4,1,3,2,1,3,1
353,4,1,3,2,2,1,1
354,4,1,3,2,2,2,1
355,4,1,3,2,2,3,1
356,4,1,3,2,3,1,1
357,4,1,3,2,3,2,1
358,4,1,3,2,3,3,1
359,4,1,3,4,1,1,1
360,4,1,3,4,1,2,1
361,4,1,3,4,1,3,2
362,4,1,3,4,2,1,1
363,4,1,3,4,2,2,1
364,4,1,3,4,2,3,2
365,4,1,3,4,3,1,1
366,4,1,3,4,3,2,2
367,4,1,3,4,3,3,2
368,4,1,3,5,1,1,1
369,4,1,3,5,1,2,1
370,4,1,3,5,1,3,2
371,4,1,3,5,2,1,1
372,4,1,3,5,2,2,2
373,4,1,3,5,2,3,2
374,4,1,3,5,3,1,1
375,4,1,3,5,3,2,2
376,4,1,3,5,3,3,2
377,4,1,4,2,1,1,1
378,4,1,4,2,1,2,1
379,4,1,4,2,1,3,1
380,4,1,4,2,2,1,1
381,4,1,4,2,2,2,1
382,4,1,4,2,2,3,1
383,4,1,4,2,3,1,1
384,4,1,4,2,3,2,1
385,4,1,4,2,3,3,1
386,4,1,4,4,1,1,1
387,4,1,4,4,1,2,1
388,4,1,4,4,1,3,2
389,4,1,4,4,2,1,1
390,4,1,4,4,2,2,2
391,4,1,4,4,2,3,2
392,4,1,4,4,3,1,1
393,4,1,4,4,3,2,2
394,4,1,4,4,3,3,2
395,4,1,4,5,1,1,1
396,4,1,4,5,1,2,1
397,4,1,4,5,1,3,2
398,4,1,4,5,2,1,1
399,4,1,4,5,2,2,2
400,4,1,4,5,2,3,2
401,4,1,4,5,3,1,1
402,4,1,4,5,3,2,2
403,4,1,4,5,3,3,2
404,4,1,5,2,1,1,1
405,4,1,5,2,1,2,1
406,4,1,5,2,1,3,1
407,4,1,5,2,2,1,1
408,4,1,5,2,2,2,1
409,4,1,5,2,2,3,1
410,4,1,5,2,3,1,1
411,4,1,5,2,3,2,1
412,4,1,5,2,3,3,1
413,4,1,5,4,1,1,1
414,4,1,5,4,1,2,1
415,4,1,5,4,1,3,2
416,4,1,5,4,2,1,1
417,4,1,5,4,2,2,2
418,4,1,5,4,2,3,2
419,4,1,5,4,3,1,1
420,4,1,5,4,3,2,2
421,4,1,5,4,3,3,2
422,4,1,5,5,1,1,1
423,4,1,5,5,1,2,1
424,4,1,5,5,1,3,2
425,4,1,5,5,2,1,1
426,4,1,5,5,2,2,2
427,4,1,5,5,2,3,2
428,4,1,5,5,3,1,1
429,4,1,5,5,3,2,2
430,4,1,5,5,3,3,2
431,3,4,2,2,1,1,1
432,3,4,2,2,1,2,1
433,3,4,2,2,1,3,1
434,3,4,2,2,2,1,1
435,3,4,2,2,2,2,1
436,3,4,2,2,2,3,1
437,3,4,2,2,3,1,1
438,3,4,2,2,3,2,1
439,3,4,2,2,3,3,1
440,3,4,2,4,1,1,1
441,3,4,2,4,1,2,1
442,3,4,2,4,1,3,1
443,3,4,2,4,2,1,1
444,3,4,2,4,2,2,1
445,3,4,2,4,2,3,1
446,3,4,2,4,3,1,1
447,3,4,2,4,3,2,1
448,3,4,2,4,3,3,1
449,3,4,2,5,1,1,1
450,3,4,2,5,1,2,1
451,3,4,2,5,1,3,1
452,3,4,2,5,2,1,1
453,3,4,2,5,2,2,1
454,3,4,2,5,2,3,1
455,3,4,2,5,3,1,1
456,3,4,2,5,3,2,1
457,3,4,2,5,3,3,1
458,3,4,3,2,1,1,1
459,3,4,3,2,1,2,1
460,3,4,3,2,1,3,1
461,3,4,3,2,2,1,1
462,3,4,3,2,2,2,1
463,3,4,3,2,2,3,1
464,3,4,3,2,3,1,1
465,3,4,3,2,3,2,1
466,3,4,3,2,3,3,1
467,3,4,3,4,1,1,1
468,3,4,3,4,1,2,1
469,3,4,3,4,1,3,1
470,3,4,3,4,2,1,1
471,3,4,3,4,2,2,1
472,3,4,3,4,2,3,1
473,3,4,3,4,3,1,1
474,3,4,3,4,3,2,1
475,3,4,3,4,3,3,1
476,3,4,3,5,1,1,1
477,3,4,3,5,1,2,1
478,3,4,3,5,1,3,1
479,3,4,3,5,2,1,1
480,3,4,3,5,2,2,1
481,3,4,3,5,2,3,1
482,3,4,3,5,3,1,1
483,3,4,3,5,3,2,1
484,3,4,3,5,3,3,1
485,3,4,4,2,1,1,1
486,3,4,4,2,1,2,1
487,3,4,4,2,1,3,1
488,3,4,4,2,2,1,1
489,3,4,4,2,2,2,1
490,3,4,4,2,2,3,1
491,3,4,4,2,3,1,1
492,3,4,4,2,3,2,1
493,3,4,4,2,3,3,1
494,3,4,4,4,1,1,1
495,3,4,4,4,1,2,1
496,3,4,4,4,1,3,1
497,3,4,4,4,2,1,1
498,3,4,4,4,2,2,1
499,3,4,4,4,2,3,1
500,3,4,4,4,3,1,1
501,3,4,4,4,3,2,1
502,3,4,4,4,3,3,1
503,3,4,4,5,1,1,1
504,3,4,4,5,1,2,1
505,3,4,4,5,1,3,1
506,3,4,4,5,2,1,1
507,3,4,4,5,2,2,1
508,3,4,4,5,2,3,1
509,3,4,4,5,3,1,1
510,3,4,4,5,3,2,1
511,3,4,4,5,3,3,1
512,3,4,5,2,1,1,1
513,3,4,5,2,1,2,1
514,3,4,5,2,1,3,1
515,3,4,5,2,2,1,1
516,3,4,5,2,2,2,1
517,3,4,5,2,2,3,1
518,3,4,5,2,3,1,1
519,3,4,5,2,3,2,1
520,3,4,5,2,3,3,1
521,3,4,5,4,1,1,1
522,3,4,5,4,1,2,1
523,3,4,5,4,1,3,1
524,3,4,5,4,2,1,1
525,3,4,5,4,2,2,1
526,3,4,5,4,2,3,1
527,3,4,5,4,3,1,1
528,3,4,5,4,3,2,1
529,3,4,5,4,3,3,1
530,3,4,5,5,1,1,1
531,3,4,5,5,1,2,1
532,3,4,5,5,1,3,1
533,3,4,5,5,2,1,1
534,3,4,5,5,2,2,1
535,3,4,5,5,2,3,1
536,3,4,5,5,3,1,1
537,3,4,5,5,3,2,1
538,3,4,5,5,3,3,1
539,3,3,2,2,1,1,1
540,3,3,2,2,1,2,1
541,3,3,2,2,1,3,1
542,3,3,2,2,2,1,1
543,3,3,2,2,2,2,1
544,3,3,2,2,2,3,1
545,3,3,2,2,3,1,1
546,3,3,2,2,3,2,1
547,3,3,2,2,3,3,1
548,3,3,2,4,1,1,1
549,3,3,2,4,1,2,1
550,3,3,2,4,1,3,2
551,3,3,2,4,2,1,1
552,3,3,2,4,2,2,1
553,3,3,2,4,2,3,2
554,3,3,2,4,3,1,1
555,3,3,2,4,3,2,2
556,3,3,2,4,3,3,2
557,3,3,2,5,1,1,1
558,3,3,2,5,1,2,1
559,3,3,2,5,1,3,1
560,3,3,2,5,2,1,1
561,3,3,2,5,2,2,1
562,3,3,2,5,2,3,2
563,3,3,2,5,3,1,1
564,3,3,2,5,3,2,2
565,3,3,2,5,3,3,2
566,3,3,3,2,1,1,1
567,3,3,3,2,1,2,1
568,3,3,3,2,1,3,1
569,3,3,3,2,2,1,1
570,3,3,3,2,2,2,1
571,3,3,3,2,2,3,1
572,3,3,3,2,3,1,1
573,3,3,3,2,3,2,1
574,3,3,3,2,3,3,1
575,3,3,3,4,1,1,1
576,3,3,3,4,1,2,1
577,3,3,3,4,1,3,2
578,3,3,3,4,2,1,1
579,3,3,3,4,2,2,1
580,3,3,3,4,2,3,2
581,3,3,3,4,3,1,1
582,3,3,3,4,3,2,2
583,3,3,3,4,3,3,2
584,3,3,3,5,1,1,1
585,3,3,3,5,1,2,1
586,3,3,3,5,1,3,2
587,3,3,3,5,2,1,1
588,3,3,3,5,2,2,2
589,3,3,3,5,2,3,2
590,3,3,3,5,3,1,1
591,3,3,3,5,3,2,2
592,3,3,3,5,3,3,2
593,3,3,4,2,1,1,1
594,3,3,4,2,1,2,1
595,3,3,4,2,1,3,1
596,3,3,4,2,2,1,1
597,3,3,4,2,2,2,1
598,3,3,4,2,2,3,1
599,3,3,4,2,3,1,1
600,3,3,4,2,3,2,1
601,3,3,4,2,3,3,1
602,3,3,4,4,1,1,1
603,3,3,4,4,1,2,1
604,3,3,4,4,1,3,2
605,3,3,4,4,2,1,1
606,3,3,4,4,2,2,2
607,3,3,4,4,2,3,2
608,3,3,4,4,3,1,1
609,3,3,4,4,3,2,2
610,3,3,4,4,3,3,2
611,3,3,4,5,1,1,1
612,3,3,4,5,1,2,1
613,3,3,4,5,1,3,2
614,3,3,4,5,2,1,1
615,3,3,4,5,2,2,2
616,3,3,4,5,2,3,2
617,3,3,4,5,3,1,1
618,3,3,4,5,3,2,2
619,3,3,4,5,3,3,2
620,3,3,5,2,1,1,1
621,3,3,5,2,1,2,1
622,3,3,5,2,1,3,1
623,3,3,5,2,2,1,1
624,3,3,5,2,2,2,1
625,3,3,5,2,2,3,1
626,3,3,5,2,3,1,1
627,3,3,5,2,3,2,1
628,3,3,5,2,3,3,1
629,3,3,5,4,1,1,1
630,3,3,5,4,1,2,1
631,3,3,5,4,1,3,2
632,3,3,5,4,2,1,1
633,3,3,5,4,2,2,2
634,3,3,5,4,2,3,2
635,3,3,5,4,3,1,1
636,3,3,5,4,3,2,2
637,3,3,5,4,3,3,2
638,3,3,5,5,1,1,1
639,3,3,5,5,1,2,1
640,3,3,5,5,1,3,2
641,3,3,5,5,2,1,1
642,3,3,5,5,2,2,2
643,3,3,5,5,2,3,2
644,3,3,5,5,3,1,1
645,3,3,5,5,3,2,2
646,3,3,5,5,3,3,2
647,3,2,2,2,1,1,1
648,3,2,2,2,1,2,1
649,3,2,2,2,1,3,1
650,3,2,2,2,2,1,1
651,3,2,2,2,2,2,1
652,3,2,2,2,2,3,1
653,3,2,2,2,3,1,1
654,3,2,2,2,3,2,1
655,3,2,2,2,3,3,1
656,3,2,2,4,1,1,1
657,3,2,2,4,1,2,1
658,3,2,2,4,1,3,2
659,3,2,2,4,2,1,1
660,3,2,2,4,2,2,1
661,3,2,2,4,2,3,2
662,3,2,2,4,3,1,1
663,3,2,2,4,3,2,2
664,3,2,2,4,3,3,2
665,3,2,2,5,1,1,1
666,3,2,2,5,1,2,1
667,3,2,2,5,1,3,1
668,3,2,2,5,2,1,1
669,3,2,2,5,2,2,1
670,3,2,2,5,2,3,2
671,3,2,2,5,3,1,1
672,3,2,2,5,3,2,2
673,3,2,2,5,3,3,2
674,3,2,3,2,1,1,1
675,3,2,3,2,1,2,1
676,3,2,3,2,1,3,1
677,3,2,3,2,2,1,1
678,3,2,3,2,2,2,1
679,3,2,3,2,2,3,1
680,3,2,3,2,3,1,1
681,3,2,3,2,3,2,1
682,3,2,3,2,3,3,1
683,3,2,3,4,1,1,1
684,3,2,3,4,1,2,1
685,3,2,3,4,1,3,2
686,3,2,3,4,2,1,1
687,3,2,3,4,2,2,1
688,3,2,3,4,2,3,2
689,3,2,3,4,3,1,1
690,3,2,3,4,3,2,2
691,3,2,3,4,3,3,2
692,3,2,3,5,1,1,1
693,3,2,3,5,1,2,1
694,3,2,3,5,1,3,2
695,3,2,3,5,2,1,1
696,3,2,3,5,2,2,2
697,3,2,3,5,2,3,2
698,3,2,3,5,3,1,1
699,3,2,3,5,3,2,2
700,3,2,3,5,3,3,2
701,3,2,4,2,1,1,1
702,3,2,4,2,1,2,1
703,3,2,4,2,1,3,1
704,3,2,4,2,2,1,1
705,3,2,4,2,2,2,1
706,3,2,4,2,2,3,1
707,3,2,4,2,3,1,1
708,3,2,4,2,3,2,1
709,3,2,4,2,3,3,1
710,3,2,4,4,1,1,1
711,3,2,4,4,1,2,1
712,3,2,4,4,1,3,2
713,3,2,4,4,2,1,1
714,3,2,4,4,2,2,2
715,3,2,4,4,2,3,2
716,3,2,4,4,3,1,1
717,3,2,4,4,3,2,2
718,3,2,4,4,3,3,2
719,3,2,4,5,1,1,1
720,3,2,4,5,1,2,1
721,3,2,4,5,1,3,2
722,3,2,4,5,2,1,1
723,3,2,4,5,2,2,2
724,3,2,4,5,2,3,2
725,3,2,4,5,3,1,1
726,3,2,4,5,3,2,2
727,3,2,4,5,3,3,2
728,3,2,5,2,1,1,1
729,3,2,5,2,1,2,1
730,3,2,5,2,1,3,1
731,3,2,5,2,2,1,1
732,3,2,5,2,2,2,1
733,3,2,5,2,2,3,1
734,3,2,5,2,3,1,1
735,3,2,5,2,3,2,1
736,3,2,5,2,3,3,1
737,3,2,5,4,1,1,1
738,3,2,5,4,1,2,1
739,3,2,5,4,1,3,2
740,3,2,5,4,2,1,1
741,3,2,5,4,2,2,2
742,3,2,5,4,2,3,2
743,3,2,5,4,3,1,1
744,3,2,5,4,3,2,2
745,3,2,5,4,3,3,2
746,3,2,5,5,1,1,1
747,3,2,5,5,1,2,1
748,3,2,5,5,1,3,2
749,3,2,5,5,2,1,1
750,3,2,5,5,2,2,2
751,3,2,5,5,2,3,2
752,3,2,5,5,3,1,1
753,3,2,5,5,3,2,2
754,3,2,5,5,3,3,2
755,3,1,2,2,1,1,1
756,3,1,2,2,1,2,1
757,3,1,2,2,1,3,1
758,3,1,2,2,2,1,1
759,3,1,2,2,2,2,1
760,3,1,2,2,2,3,1
761,3,1,2,2,3,1,1
762,3,1,2,2,3,2,1
763,3,1,2,2,3,3,1
764,3,1,2,4,1,1,1
765,3,1,2,4,1,2,1
766,3,1,2,4,1,3,2
767,3,1,2,4,2,1,1
768,3,1,2,4,2,2,1
769,3,1,2,4,2,3,2
770,3,1,2,4,3,1,1
771,3,1,2,4,3,2,2
772,3,1,2,4,3,3,2
773,3,1,2,5,1,1,1
774,3,1,2,5,1,2,1
775,3,1,2,5,1,3,1
776,3,1,2,5,2,1,1
777,3,1,2,5,2,2,1
778,3,1,2,5,2,3,2
779,3,1,2,5,3,1,1
780,3,1,2,5,3,2,2
781,3,1,2,5,3,3,2
782,3,1,3,2,1,1,1
783,3,1,3,2,1,2,1
784,3,1,3,2,1,3,1
785,3,1,3,2,2,1,1
786,3,1,3,2,2,2,1
787,3,1,3,2,2,3,1
788,3,1,3,2,3,1,1
789,3,1,3,2,3,2,1
790,3,1,3,2,3,3,1
791,3,1,3,4,1,1,1
792,3,1,3,4,1,2,1
793,3,1,3,4,1,3,2
794,3,1,3,4,2,1,1
795,3,1,3,4,2,2,1
796,3,1,3,4,2,3,2
797,3,1,3,4,3,1,1
798,3,1,3,4,3,2,2
799,3,1,3,4,3,3,2
800,3,1,3,5,1,1,1
801,3,1,3,5,1,2,1
802,3,1,3,5,1,3,2
803,3,1,3,5,2,1,1
804,3,1,3,5,2,2,2
805,3,1,3,5,2,3,2
806,3,1,3,5,3,1,1
807,3,1,3,5,3,2,2
808,3,1,3,5,3,3,2
809,3,1,4,2,1,1,1
810,3,1,4,2,1,2,1
811,3,1,4,2,1,3,1
812,3,1,4,2,2,1,1
813,3,1,4,2,2,2,1
814,3,1,4,2,2,3,1
815,3,1,4,2,3,1,1
816,3,1,4,2,3,2,1
817,3,1,4,2,3,3,1
818,3,1,4,4,1,1,1
819,3,1,4,4,1,2,1
820,3,1,4,4,1,3,2
821,3,1,4,4,2,1,1
822,3,1,4,4,2,2,2
823,3,1,4,4,2,3,2
824,3,1,4,4,3,1,1
825,3,1,4,4,3,2,2
826,3,1,4,4,3,3,2
827,3,1,4,5,1,1,1
828,3,1,4,5,1,2,1
829,3,1,4,5,1,3,2
830,3,1,4,5,2,1,1
831,3,1,4,5,2,2,2
832,3,1,4,5,2,3,2
833,3,1,4,5,3,1,1
834,3,1,4,5,3,2,2
835,3,1,4,5,3,3,2
836,3,1,5,2,1,1,1
837,3,1,5,2,1,2,1
838,3,1,5,2,1,3,1
839,3,1,5,2,2,1,1
840,3,1,5,2,2,2,1
841,3,1,5,2,2,3,1
842,3,1,5,2,3,1,1
843,3,1,5,2,3,2,1
844,3,1,5,2,3,3,1
845,3,1,5,4,1,1,1
846,3,1,5,4,1,2,1
847,3,1,5,4,1,3,2
848,3,1,5,4,2,1,1
849,3,1,5,4,2,2,2
850,3,1,5,4,2,3,2
851,3,1,5,4,3,1,1
852,3,1,5,4,3,2,2
853,3,1,5,4,3,3,2
854,3,1,5,5,1,1,1
855,3,1,5,5,1,2,1
856,3,1,5,5,1,3,2
857,3,1,5,5,2,1,1
858,3,1,5,5,2,2,2
859,3,1,5,5,2,3,2
860,3,1,5,5,3,1,1
861,3,1,5,5,3,2,2
862,3,1,5,5,3,3,2
863,2,4,2,2,1,1,1
864,2,4,2,2,1,2,1
865,2,4,2,2,1,3,1
866,2,4,2,2,2,1,1
867,2,4,2,2,2,2,1
868,2,4,2,2,2,3,1
869,2,4,2,2,3,1,1
870,2,4,2,2,3,2,1
